prompt,completion
安徽金瑞大药房连锁股份有限公司的公司地址？,安徽省马鞍山市博望高新区新市工业园
安徽金瑞大药房连锁股份有限公司的证券代码是？,871979
安徽金瑞大药房连锁股份有限公司的法人代表？,易望波
安徽金瑞大药房连锁股份有限公司的中文简称？,金瑞药房
中晟光电设备(上海)股份有限公司的股东有哪些?,上海银领资产管理有限公司-银领资产新三板二期基金、兴证证券资管-招商证券-兴证资管鑫三板1号集合资产管理计划、江苏中晟半导体设备有限公司、兴证证券资管-招商证券-兴证资管鑫三板2号集合资产管理计划
中晟光电设备(上海)股份有限公司的公司地址？,中国（上海）自由贸易试验区华佗路168号3幢B区
中晟光电设备(上海)股份有限公司的证券代码是？,831504
中晟光电设备(上海)股份有限公司的法人代表？,陈爱华
中晟光电设备(上海)股份有限公司的中文简称？,中晟光电
南京化学试剂股份有限公司的股东有哪些?,胡冬林、袁韶秋、吴友建、张宪伟、王志刚
南京化学试剂股份有限公司的公司地址？,南京化学工业园区赵桥河南路109号
南京化学试剂股份有限公司的证券代码是？,833179
南京化学试剂股份有限公司的法人代表？,王志刚
南京化学试剂股份有限公司的中文简称？,南京试剂
广东爱瓦力科技股份有限公司的股东有哪些?,东莞市爱瓦力股权投资合伙企业(有限合伙)、钟志华、张海方、罗文、郑志平
广东爱瓦力科技股份有限公司的公司地址？,广东省东莞松山湖高新技术产业开发区工业西路14号4号楼3层
广东爱瓦力科技股份有限公司的证券代码是？,832638
广东爱瓦力科技股份有限公司的法人代表？,张名良
广东爱瓦力科技股份有限公司的中文简称？,瓦力科技
上海惠岚科技股份有限公司的股东有哪些?,邹泉、马俊、李建尧、严国勇、周建升
上海惠岚科技股份有限公司的公司地址？,上海市黄浦区制造局路787号2幢506室
上海惠岚科技股份有限公司的证券代码是？,839042
上海惠岚科技股份有限公司的法人代表？,但丽
上海惠岚科技股份有限公司的中文简称？,惠岚科技
河北北直通用航空股份有限公司的股东有哪些?,
河北北直通用航空股份有限公司的公司地址？,河北省保定市建业路6号国际保税物流中心综合办公楼三层
河北北直通用航空股份有限公司的证券代码是？,S02959
河北北直通用航空股份有限公司的法人代表？,杨毅
河北北直通用航空股份有限公司的中文简称？,北直通航
江苏太湖云计算信息技术股份有限公司的股东有哪些?,无锡众可为投资中心(有限合伙)、江苏慧电商科技有限公司、无锡俊豪达管理咨询企业(有限合伙)、尤振宇、胡琳
江苏太湖云计算信息技术股份有限公司的公司地址？,江苏省无锡市蠡湖大道2008号蠡湖商务园45-46号
江苏太湖云计算信息技术股份有限公司的证券代码是？,871403
江苏太湖云计算信息技术股份有限公司的法人代表？,谢辉
江苏太湖云计算信息技术股份有限公司的中文简称？,太 湖 云
西安正昌电子股份有限公司的股东有哪些?,陕西法士特汽车传动集团有限责任公司、陕西金泰创业投资有限公司、王帆、杨鸿年、韩琳、周雄、叶承阳、孟宪林、张莉莉
西安正昌电子股份有限公司的公司地址？,西安市高新区草堂科技产业基地秦岭大道西2号科技企业加速器9号楼10101;唐延南路8号3G酷派产业园B座3层303室
西安正昌电子股份有限公司的证券代码是？,833622
西安正昌电子股份有限公司的法人代表？,郭金福
西安正昌电子股份有限公司的中文简称？,正昌电子
北京喂呦科技股份有限公司的股东有哪些?,北京互联创业投资合伙企业(有限合伙)、鼎泰海富投资管理有限公司、山东汇益创业投资有限公司、唐悦、赵晓峰、田雪峰、熊家涛、唐阳、钱西姿
北京喂呦科技股份有限公司的公司地址？,北京市朝阳区高碑店乡八里庄村陈家林9号院华腾世纪总部公园项目8号楼4层401室
北京喂呦科技股份有限公司的证券代码是？,873398
北京喂呦科技股份有限公司的法人代表？,唐阳
北京喂呦科技股份有限公司的中文简称？,喂呦科技
天津德高化成新材料股份有限公司的股东有哪些?,上海玄化投资管理中心(有限合伙)、潘雪莹、沈六富、霍炬、谭晓华、冯亚凯、孙巨龙、孙绪筠、康立红
天津德高化成新材料股份有限公司的公司地址？,天津市滨海新区塘沽新北路4668号创新创业园13号厂房
天津德高化成新材料股份有限公司的证券代码是？,831756
天津德高化成新材料股份有限公司的法人代表？,谭晓华
天津德高化成新材料股份有限公司的中文简称？,德高化成
山东联通人力资源服务股份有限公司的股东有哪些?,陈友、陈波、刘薇薇、唐静宜、冷春基、张娜、王英芬
山东联通人力资源服务股份有限公司的公司地址？,山东省烟台市芝罘区机场路90号人力资源产业园北楼13楼
山东联通人力资源服务股份有限公司的证券代码是？,835295
山东联通人力资源服务股份有限公司的法人代表？,陈友
山东联通人力资源服务股份有限公司的中文简称？,联通人力
苏州金远胜智能装备股份有限公司的股东有哪些?,太仓金凯和贸易有限公司、太仓金卓和贸易有限公司、吴琴秀、吴琴妹
苏州金远胜智能装备股份有限公司的公司地址？,江苏省苏州太仓市沙溪镇直塘区直任路79号
苏州金远胜智能装备股份有限公司的证券代码是？,873206
苏州金远胜智能装备股份有限公司的法人代表？,吴琴秀
苏州金远胜智能装备股份有限公司的中文简称？,金 远 胜
北京慧典云医科技股份有限公司的股东有哪些?,连振国、樊大伟、李川山、朱永胜、姜明
北京慧典云医科技股份有限公司的公司地址？,北京市海淀区花园北路14号67幢1层109室
北京慧典云医科技股份有限公司的证券代码是？,835440
北京慧典云医科技股份有限公司的法人代表？,李川山
北京慧典云医科技股份有限公司的中文简称？,慧典云医
山西创美建筑安装工程股份有限公司的股东有哪些?,马善骏、郑林青、李建文、赵丽君
山西创美建筑安装工程股份有限公司的公司地址？,山西省太原市小店区平阳路与晋阳街交叉口东南角君怡小区A座二层
山西创美建筑安装工程股份有限公司的证券代码是？,838196
山西创美建筑安装工程股份有限公司的法人代表？,马善骏
山西创美建筑安装工程股份有限公司的中文简称？,创美股份
上海一盟电子科技股份有限公司的股东有哪些?,陈红丽、高大军、杨清、于善泳、刘峰
上海一盟电子科技股份有限公司的公司地址？,江苏省昆山市小澞河路283号腾辉控股集团产业园1号楼2楼
上海一盟电子科技股份有限公司的证券代码是？,839801
上海一盟电子科技股份有限公司的法人代表？,乐九辉
上海一盟电子科技股份有限公司的中文简称？,一盟科技
山西聚海龙电通科技股份有限公司的股东有哪些?,山西沃宸企业管理咨询中心(有限合伙)、于一东、于文平、赵虹、黄二苗
山西聚海龙电通科技股份有限公司的公司地址？,太原市小店区长风大街123号君威财富中心905室
山西聚海龙电通科技股份有限公司的证券代码是？,834623
山西聚海龙电通科技股份有限公司的法人代表？,于文平
山西聚海龙电通科技股份有限公司的中文简称？,聚 海 龙
湖南大商帮科技股份有限公司的股东有哪些?,何刚强、肖克超、胡敏、宋智勇
湖南大商帮科技股份有限公司的公司地址？,长沙市雨花区芙蓉中路三段569号湖南商会大厦东塔楼15楼
湖南大商帮科技股份有限公司的证券代码是？,832557
湖南大商帮科技股份有限公司的法人代表？,何刚强
湖南大商帮科技股份有限公司的中文简称？,大 商 帮
江苏双盛锌业股份有限公司的股东有哪些?,沃控智能系统南京有限公司、丁拥军、张月凤、徐燕、徐桂森、赵永权、徐鲲、邹蓉、钱秋妹
江苏双盛锌业股份有限公司的公司地址？,江苏省扬州市邗江区公道镇工业集中区南苑北路
江苏双盛锌业股份有限公司的证券代码是？,832550
江苏双盛锌业股份有限公司的法人代表？,张月凤
江苏双盛锌业股份有限公司的中文简称？,双盛锌业
江西银杉白水泥股份有限公司的股东有哪些?,
江西银杉白水泥股份有限公司的公司地址？,江西省吉安市安福县工业园区振兴大道旁
江西银杉白水泥股份有限公司的证券代码是？,S02958
江西银杉白水泥股份有限公司的法人代表？,曾嵘
江西银杉白水泥股份有限公司的中文简称？,银杉新材
南京埃森环境技术股份有限公司的股东有哪些?,江苏人才创新创业投资合伙企业(有限合伙)、南京布鲁斯卡信息咨询合伙企业(有限合伙)、章曙、范黎锋、刘德允、陈秀平
南京埃森环境技术股份有限公司的公司地址？,南京市玄武区玄武大道699号-22号11幢
南京埃森环境技术股份有限公司的证券代码是？,838542
南京埃森环境技术股份有限公司的法人代表？,刘德允
南京埃森环境技术股份有限公司的中文简称？,埃森环境
浙江明辉蔬果配送股份有限公司的股东有哪些?,杭州信倍股权投资合伙企业(有限合伙)、张忠义、李云游、周曼青、张煜、胡建云、余萍萍、何云峰、黄龙、汪妍
浙江明辉蔬果配送股份有限公司的公司地址？,浙江省衢州市绿色产业集聚区绿川路17号
浙江明辉蔬果配送股份有限公司的证券代码是？,837510
浙江明辉蔬果配送股份有限公司的法人代表？,何云峰
浙江明辉蔬果配送股份有限公司的中文简称？,明辉股份
山东正凯新材料股份有限公司的股东有哪些?,浙江正凯投资有限公司、汪春波、童明海、庄建刚、黄栩潇、冯国民、王炳奎、冯卫芳、肖海军、方天兴
山东正凯新材料股份有限公司的公司地址？,枣庄市市中区人民路1号
山东正凯新材料股份有限公司的证券代码是？,835887
山东正凯新材料股份有限公司的法人代表？,庄建刚
山东正凯新材料股份有限公司的中文简称？,正凯新材
河南博元电力科技股份有限公司的股东有哪些?,郑州典实财务咨询有限公司、王桃竹、郭强、孙军伟、马伯伦
河南博元电力科技股份有限公司的公司地址？,郑州高新技术开发区翠竹街6号11幢9层901室
河南博元电力科技股份有限公司的证券代码是？,833227
河南博元电力科技股份有限公司的法人代表？,常建勋
河南博元电力科技股份有限公司的中文简称？,博元电力
德泓国际绒业股份有限公司的股东有哪些?,德海国际集团控股有限公司、宁夏德泓金荣物流有限公司
德泓国际绒业股份有限公司的公司地址？,宁夏回族自治区银川市金凤工业园区宝湖中路401号
德泓国际绒业股份有限公司的证券代码是？,834086
德泓国际绒业股份有限公司的法人代表？,回振丽
德泓国际绒业股份有限公司的中文简称？,德泓国际
北京新赛点体育投资股份有限公司的股东有哪些?,宁波杭州湾新区人保远望启迪科服股权投资中心(有限合伙)、瑞元资本-广发证券-瑞元千合木槿1号专项资产管理计划、北京体创优才科技管理中心(有限合伙)、杨琴、徐林洲、贾培勤、陈乃明、李一馨、邱明静、张建忠
北京新赛点体育投资股份有限公司的公司地址？,北京市海淀区四道口路净土寺32号东区11号楼9层
北京新赛点体育投资股份有限公司的证券代码是？,834425
北京新赛点体育投资股份有限公司的法人代表？,徐林洲
北京新赛点体育投资股份有限公司的中文简称？,新 赛 点
北京泓升投资有限责任公司的股东有哪些?,和泓控股集团有限公司、和泓置地集团有限公司
北京泓升投资有限责任公司的公司地址？,北京市大兴区庞各庄镇北顿垡北侧1-7号
北京泓升投资有限责任公司的证券代码是？,835345
北京泓升投资有限责任公司的法人代表？,周炜
北京泓升投资有限责任公司的中文简称？,泓升股份
荣信教育文化产业发展股份有限公司的股东有哪些?,义乌信力股权投资合伙企业(有限合伙)、西安乐乐趣投资管理有限合伙企业、陕西文化产业投资基金(有限合伙)、朱颖、闫红兵、王艺桦、殷波、石小娟、姚蔚、邢炜
荣信教育文化产业发展股份有限公司的公司地址？,陕西省西安高新区软件新城天谷八路西安国家数字出版基地南区三栋
荣信教育文化产业发展股份有限公司的证券代码是？,833632
荣信教育文化产业发展股份有限公司的法人代表？,王艺桦
荣信教育文化产业发展股份有限公司的中文简称？,荣信教育
张家口中业科技股份有限公司的股东有哪些?,张家口联众信息咨询中心(有限合伙)、田万荣、田昌魁
张家口中业科技股份有限公司的公司地址？,河北省张家口市桥东区东河沿街副8号
张家口中业科技股份有限公司的证券代码是？,872456
张家口中业科技股份有限公司的法人代表？,田昌魁
张家口中业科技股份有限公司的中文简称？,中业股份
深圳市零奔洋光电股份有限公司的股东有哪些?,深圳市易立投资有限公司、深圳市聚洋投资有限公司、邓伟强、温小桂、唐明惠
深圳市零奔洋光电股份有限公司的公司地址？,深圳市宝安区石岩街道应人石社区天宝路2号新永丰工业园B栋6楼;深圳市宝安区石岩镇塘头村18号2#楼B栋08层
深圳市零奔洋光电股份有限公司的证券代码是？,872658
深圳市零奔洋光电股份有限公司的法人代表？,温小桂
深圳市零奔洋光电股份有限公司的中文简称？,零 奔 洋
东莞市本润机器人科技股份有限公司的股东有哪些?,富港电子(天津)有限公司、桂新飞、阮景文、邹盛和、熊家鹏
东莞市本润机器人科技股份有限公司的公司地址？,广东省东莞市松山湖园区工业北四路5号1栋504室
东莞市本润机器人科技股份有限公司的证券代码是？,870887
东莞市本润机器人科技股份有限公司的法人代表？,熊家鹏
东莞市本润机器人科技股份有限公司的中文简称？,本润股份
广东新维生物科技股份有限公司的股东有哪些?,李景钦、胡志军、杨芳珍、林镇秋、张兴华、张玲、林静
广东新维生物科技股份有限公司的公司地址？,江门市江海区科苑西路37号一幢二楼(自编202-205房)
广东新维生物科技股份有限公司的证券代码是？,873379
广东新维生物科技股份有限公司的法人代表？,林政纬
广东新维生物科技股份有限公司的中文简称？,新维生科
大连鑫玉龙海洋生物种业科技股份有限公司的股东有哪些?,新疆宜信股权投资有限合伙企业、王晓光、周晓艳、张丹
大连鑫玉龙海洋生物种业科技股份有限公司的公司地址？,大连市中山区鲁迅路4号
大连鑫玉龙海洋生物种业科技股份有限公司的证券代码是？,834795
大连鑫玉龙海洋生物种业科技股份有限公司的法人代表？,宋伟
大连鑫玉龙海洋生物种业科技股份有限公司的中文简称？,鑫 玉 龙
辽宁顺邦通信技术股份有限公司的股东有哪些?,陈明军、孙欢启、吴灿、傅杭泉、魏群
辽宁顺邦通信技术股份有限公司的公司地址？,辽宁省抚顺市抚顺经济开发区沈东一路50号
辽宁顺邦通信技术股份有限公司的证券代码是？,836157
辽宁顺邦通信技术股份有限公司的法人代表？,孙欢启
辽宁顺邦通信技术股份有限公司的中文简称？,顺邦通信
沈阳晨邦科技股份有限公司的股东有哪些?,沈阳融汇博通投资顾问有限公司、陈泽军、徐志成、王朝辉
沈阳晨邦科技股份有限公司的公司地址？,辽宁省沈阳市和平区青年大街318号（713）、（714）
沈阳晨邦科技股份有限公司的证券代码是？,873035
沈阳晨邦科技股份有限公司的法人代表？,陈泽军
沈阳晨邦科技股份有限公司的中文简称？,晨邦科技
哈尔滨正大龙祥医药股份有限公司的股东有哪些?,张文奇、马宝林、张雪、张丰、贾宝娟
哈尔滨正大龙祥医药股份有限公司的公司地址？,哈尔滨市利民开发区鑫天食品北、萧红大街东212米办公楼
哈尔滨正大龙祥医药股份有限公司的证券代码是？,836782
哈尔滨正大龙祥医药股份有限公司的法人代表？,张文奇
哈尔滨正大龙祥医药股份有限公司的中文简称？,正大龙祥
北京画时代教育科技股份有限公司的股东有哪些?,巢湖京美乐宝企业管理中心(有限合伙)、北京众艺投资有限公司
北京画时代教育科技股份有限公司的公司地址？,北京市海淀区远大路20号D座5C2
北京画时代教育科技股份有限公司的证券代码是？,872231
北京画时代教育科技股份有限公司的法人代表？,程锋
北京画时代教育科技股份有限公司的中文简称？,画 时 代
北京锦龙海洋装备股份有限公司的股东有哪些?,辽宁锦龙控股集团有限公司、辽宁中盈旅游装备产业开发有限公司、董革
北京锦龙海洋装备股份有限公司的公司地址？,北京市西城区金融街乙9号威斯汀公寓2553
北京锦龙海洋装备股份有限公司的证券代码是？,834442
北京锦龙海洋装备股份有限公司的法人代表？,
北京锦龙海洋装备股份有限公司的中文简称？,锦龙装备
北京华泽云鼎教育科技股份有限公司的股东有哪些?,北京华泽联同投资管理中心(有限合伙)、北京华泽恒持投资管理中心(有限合伙)、王银红、付雷鹏、易定宏
北京华泽云鼎教育科技股份有限公司的公司地址？,北京市海淀区复兴路甲23号
北京华泽云鼎教育科技股份有限公司的证券代码是？,430728
北京华泽云鼎教育科技股份有限公司的法人代表？,齐忠辉
北京华泽云鼎教育科技股份有限公司的中文简称？,云鼎教育
广州市高衡力节能科技股份有限公司的股东有哪些?,深圳万联顺泽创业投资中心(有限合伙)、尹志强、陆贤诗、高嘉健、苏惠坤、麦国东、高嘉红、邓钧、朱利、许建航
广州市高衡力节能科技股份有限公司的公司地址？,广州市天河区黄埔大道中309号自编3-06
广州市高衡力节能科技股份有限公司的证券代码是？,430665
广州市高衡力节能科技股份有限公司的法人代表？,高嘉健
广州市高衡力节能科技股份有限公司的中文简称？,高 衡 力
浙江永裕竹业股份有限公司的股东有哪些?,安吉永裕建材有限公司、大自然家居(中国)有限公司、无锡苕越安裕股权投资合伙企业(有限合伙)、姚旭琴
浙江永裕竹业股份有限公司的公司地址？,安吉县孝丰镇东山工业园区、安吉县孝丰镇竹产业科技创业园
浙江永裕竹业股份有限公司的证券代码是？,831996
浙江永裕竹业股份有限公司的法人代表？,陈永兴
浙江永裕竹业股份有限公司的中文简称？,永裕竹业
北京雷克利达节能环保科技股份有限公司的股东有哪些?,东莞证券股份有限公司、上海证券有限责任公司、孙文雷、彭海、黄玉峰、朱思杰、梁佳星、刘晓晖、孟辉
北京雷克利达节能环保科技股份有限公司的公司地址？,北京市朝阳区南湖东园122号博泰国际大厦A座1808室
北京雷克利达节能环保科技股份有限公司的证券代码是？,831046
北京雷克利达节能环保科技股份有限公司的法人代表？,孙文雷
北京雷克利达节能环保科技股份有限公司的中文简称？,雷克利达
北京太速科技股份有限公司的股东有哪些?,朱宗吉、焦晓峰、陈宇、白雪、杨潇潇、王唯、陈平孙、何艳艳、陈梅荪
北京太速科技股份有限公司的公司地址？,北京市朝阳区北辰东路8号(汇欣大厦)2号楼18层S1804单元
北京太速科技股份有限公司的证券代码是？,873283
北京太速科技股份有限公司的法人代表？,陈梅荪
北京太速科技股份有限公司的中文简称？,太速科技
北京蓝色方略整合营销顾问股份有限公司的股东有哪些?,活动树(北京)智能科技有限公司、北京众和成长投资中心(有限合伙)、宝盈基金-平安银行-宝盈新三板盈丰8号特定多客户资产管理计划、霍尔果斯方略股权投资管理合伙企业(有限合伙)、中铁宝盈资产-平安银行-中铁宝盈新三板新睿系列(1期)特定客户资产管理计划
北京蓝色方略整合营销顾问股份有限公司的公司地址？,北京市朝阳区酒仙桥北路9号恒通国际创新园C9-C
北京蓝色方略整合营销顾问股份有限公司的证券代码是？,835675
北京蓝色方略整合营销顾问股份有限公司的法人代表？,罗坚
北京蓝色方略整合营销顾问股份有限公司的中文简称？,蓝色方略
广州星晨互联网科技股份有限公司的股东有哪些?,北京邦客乐咨询股份有限公司、姚翊、韦品清、马利亚
广州星晨互联网科技股份有限公司的公司地址？,广州市天河区大灵山路61号第24栋三层B-1308房
广州星晨互联网科技股份有限公司的证券代码是？,430744
广州星晨互联网科技股份有限公司的法人代表？,姚翊
广州星晨互联网科技股份有限公司的中文简称？,星晨互联
深圳墨麟科技股份有限公司的股东有哪些?,深圳国墨天下投资管理有限公司、深圳墨非投资管理合伙企业(有限合伙)、安徽德力日用玻璃股份有限公司、芜湖三七互娱网络科技集团股份有限公司、陈默、林嘉喜
深圳墨麟科技股份有限公司的公司地址？,深圳市南山区科苑路15号科兴科学园B栋三单元9楼901
深圳墨麟科技股份有限公司的证券代码是？,835067
深圳墨麟科技股份有限公司的法人代表？,陈默
深圳墨麟科技股份有限公司的中文简称？,墨麟股份
北京驰洪医疗科技股份有限公司的股东有哪些?,张敬东、刘艳云、刘国庆、孙天卉、郭佳贺
北京驰洪医疗科技股份有限公司的公司地址？,北京市石景山区实兴大街30号院16号楼10层1005、1006室
北京驰洪医疗科技股份有限公司的证券代码是？,871802
北京驰洪医疗科技股份有限公司的法人代表？,刘国庆
北京驰洪医疗科技股份有限公司的中文简称？,驰洪医疗
中诚工程建设管理(苏州)股份有限公司的股东有哪些?,苏州诚来恒投资管理中心(有限合伙)、郝春荣、卞才芳、许学雷、简素
中诚工程建设管理(苏州)股份有限公司的公司地址？,江苏省苏州姑苏区西环路2115号9-11楼
中诚工程建设管理(苏州)股份有限公司的证券代码是？,839962
中诚工程建设管理(苏州)股份有限公司的法人代表？,陆俊
中诚工程建设管理(苏州)股份有限公司的中文简称？,中诚管理
深圳市万泉河科技股份有限公司的股东有哪些?,王亮、韩坚定、冯华、刘德玉、王峰洁、庄岳生、张景文、陈志伟、叶文波
深圳市万泉河科技股份有限公司的公司地址？,深圳市龙岗区坂田街道雪岗路2018号天安云谷产业园一期3栋D座10层1005、1006单元
深圳市万泉河科技股份有限公司的证券代码是？,430434
深圳市万泉河科技股份有限公司的法人代表？,王亮
深圳市万泉河科技股份有限公司的中文简称？,万 泉 河
杭州嘉翔高强螺栓股份有限公司的股东有哪些?,吴利锋、王永贤、汪水金、姚国松、王栋
杭州嘉翔高强螺栓股份有限公司的公司地址？,浙江省杭州市萧山区进化镇王家闸村（沈家埭）
杭州嘉翔高强螺栓股份有限公司的证券代码是？,839476
杭州嘉翔高强螺栓股份有限公司的法人代表？,姚国松
杭州嘉翔高强螺栓股份有限公司的中文简称？,嘉翔股份
广东优华物联智控科技股份有限公司的股东有哪些?,珠海科技创业投资有限公司、珠海横琴新区优润投资管理中心(有限合伙)、聂雅盛、聂敏、冯玳琪
广东优华物联智控科技股份有限公司的公司地址？,珠海市高新区金唐路1号港湾1号科创园10栋4-5层
广东优华物联智控科技股份有限公司的证券代码是？,870933
广东优华物联智控科技股份有限公司的法人代表？,聂敏
广东优华物联智控科技股份有限公司的中文简称？,优华物联
中润油新能源股份有限公司的股东有哪些?,中润环能集团有限公司、王菊林、王菡悦、黄坤鹏、王德意、梁水生、陈积泽
中润油新能源股份有限公司的公司地址？,江苏省南京市中山南路414号投资大厦17楼
中润油新能源股份有限公司的证券代码是？,831890
中润油新能源股份有限公司的法人代表？,王菊林
中润油新能源股份有限公司的中文简称？,中润新能
